Apellidos;Nombre;Asistencia;Parcial1;Parcial2;Ordinario1;Ordinario2;Practicas;OrdinarioPracticas
Anido Bonet;David;90%;5,5;2,75;;5;;
Bueno Cerdeira;Patricia;95%;9,5;9;;;6,25;
Casariego García;Raúl;98%;4,25;5,75;;;4;5
Curbelo Sánchez;Jorge;75%;6,75;4,25;;;;6,5
Díaz Souto;Sofía;82%;7;6,5;;;9;
García Perez;Yaiza;85%;10;8;;;7,5;
Sánchez Jordán;María;92%;8,75;9;;;6,5;
Lorenzo García;Jaime;100%;9,75;8,25;;;7,5;
Martínez Lucas;Cecilia;86%;7;4;;;6,25;
Mora Peñaloza;Sandra;70%;5,25;2;;4;6,5;
Morillo Escudero;Ana;100%;9,5;10;;;8,75;
Muñoz Gómez;Carolina;94%;7,75;6,5;;;4;
Ramirez de la Puente;Raquel;75%;0;1;1;2,75;2,25;3,25
Riego Pizarro;Carlos;75%;4;2,5;5;3,75;;
Rodríguez de Blas;Ignacio;80%;8,25;5,25;;;6,5;
Moreno Angulo;Antonio;88%;9;6,75;;;5,25;
